12/9/2024,23.2
12/6/2024,25.3
12/5/2024,25.3
12/4/2024,27.7
12/3/2024,36.6
12/2/2024,34.3
11/29/2024,27.8
11/28/2024,27.8
11/27/2024,27.7
11/26/2024,30
11/25/2024,36
11/22/2024,39
11/21/2024,37.7
11/20/2024,40.6
11/19/2024,42.1
11/18/2024,43.4
11/15/2024,43.3
11/14/2024,38.7
11/13/2024,38.3
11/12/2024,38.4
11/11/2024,37.1
11/8/2024,37.2
11/7/2024,35.7
11/6/2024,35.6
11/5/2024,35.8
11/4/2024,31.9
11/1/2024,31.7
10/31/2024,38.6
10/30/2024,35.4
10/29/2024,28.4
10/28/2024,25.6
10/25/2024,23.1
10/24/2024,19.7
10/23/2024,17.5
10/22/2024,17.2
10/21/2024,16.4
10/18/2024,14.8
10/17/2024,14.9
10/16/2024,6.4
10/15/2024,6
10/14/2024,9
10/11/2024,10.3
10/10/2024,12.2
10/9/2024,14.5
10/8/2024,14.3
10/7/2024,14.3
10/4/2024,14.1
10/3/2024,7.4
10/2/2024,3.8
10/1/2024,2.6
9/30/2024,-0.8
9/27/2024,-6.1
9/26/2024,-5.3
9/25/2024,-12.7
9/24/2024,-13.8
9/23/2024,-9.6
9/20/2024,-8.5
9/19/2024,-8.8
9/18/2024,-12.3
9/17/2024,-14.1
9/16/2024,-17.1
9/13/2024,-21.8
9/12/2024,-22.4
9/11/2024,-21.8
9/10/2024,-26.8
9/9/2024,-26.8
9/6/2024,-30.1
9/5/2024,-29.5
9/4/2024,-28.9
9/3/2024,-25.1
9/2/2024,-23.9
8/30/2024,-24.2
8/29/2024,-24.8
8/28/2024,-27.2
8/27/2024,-28.1
8/26/2024,-31.1
8/23/2024,-38.6
8/22/2024,-44.5
8/21/2024,-41.2
8/20/2024,-40.5
8/19/2024,-39.2
8/16/2024,-36.6
8/15/2024,-34.9
8/14/2024,-31
8/13/2024,-31.1
8/12/2024,-32.9
8/9/2024,-34.3
8/8/2024,-34.6
8/7/2024,-36.3
8/6/2024,-37.6
8/5/2024,-39.1
8/2/2024,-40.6
8/1/2024,-34.4
7/31/2024,-25.2
7/30/2024,-25.5
7/29/2024,-29.3
7/26/2024,-34
7/25/2024,-33.4
7/24/2024,-35.1
7/23/2024,-31.1
7/22/2024,-30.1
7/19/2024,-35
7/18/2024,-36.1
7/17/2024,-36.9
7/16/2024,-42.7
7/15/2024,-45.5
7/12/2024,-47.5
7/11/2024,-45.8
7/10/2024,-45.1
7/9/2024,-45.7
7/8/2024,-46.7
7/5/2024,-46.8
7/4/2024,-47.3
7/3/2024,-47.5
7/2/2024,-30.4
7/1/2024,-32.4
6/28/2024,-28.5
6/27/2024,-29.2
6/26/2024,-26.9
6/25/2024,-26
6/24/2024,-26.7
6/21/2024,-25.6
6/20/2024,-28.1
6/19/2024,-23.6
6/18/2024,-22.4
6/17/2024,-21.5
6/14/2024,-19.9
6/13/2024,-14.2
6/12/2024,-9.9
6/11/2024,-6.1
6/10/2024,-6.6
6/7/2024,-5.5
6/6/2024,-9.9
6/5/2024,-7.6
6/4/2024,-11.8
6/3/2024,-8.9
5/31/2024,-7.6
5/30/2024,-4.1
5/29/2024,-3.7
5/28/2024,-5.2
5/24/2024,-10.9
5/23/2024,-16.7
5/22/2024,-23.8
5/21/2024,-23.5
5/20/2024,-23.2
5/17/2024,-23.2
5/16/2024,-21.6
5/15/2024,-18.2
5/14/2024,-16.2
5/13/2024,-17.9
5/10/2024,-18.5
5/9/2024,
5/8/2024,
5/7/2024,
5/6/2024,
5/5/2024,
5/4/2024,
5/3/2024,
5/2/2024,
5/1/2024,
4/30/2024,
4/29/2024,
4/28/2024,
4/27/2024,
4/26/2024,
4/25/2024,
4/24/2024,
4/23/2024,
4/22/2024,
4/21/2024,
4/20/2024,
4/19/2024,
4/18/2024,
4/17/2024,
4/16/2024,
4/15/2024,
4/14/2024,
4/13/2024,
4/12/2024,
4/11/2024,
4/10/2024,
4/9/2024,
4/8/2024,
4/7/2024,
4/6/2024,
4/5/2024,
4/4/2024,
4/3/2024,
4/2/2024,
4/1/2024,
3/31/2024,
3/30/2024,
3/29/2024,
3/28/2024,
3/27/2024,
3/26/2024,
3/25/2024,
3/24/2024,
3/23/2024,
3/22/2024,
3/21/2024,
3/20/2024,
3/19/2024,
3/18/2024,
3/17/2024,
3/16/2024,
3/15/2024,
3/14/2024,
3/13/2024,
3/12/2024,
3/11/2024,
3/10/2024,
3/9/2024,
3/8/2024,
3/7/2024,
3/6/2024,
3/5/2024,
3/4/2024,
3/3/2024,
3/2/2024,
3/1/2024,
2/29/2024,
